FID,codmun,codmundv,uf,nome_mun,ric01,ric02,ric03,ric04,ric05,ric06,ric07,ric08,ric09,ric10,ric11,ric12,ric13,ric14,ric15,ric16,ric17,ric18,ric19,ric20,ric21,ric22,ric23,ric24,ric25,ric26,ric27,ric28,ric29,ric30,ric31,ric32,ric33,ric34,ric35,ric36,ric37,ric38,ric39,ric40,ric41,ric42,ric43,ric44,ric45,ric46,ric47,ric48,ric49,ric50,ric51,ric52,ric53,ric54,ric55,ric56,ric57,ric58,ric59,ric60,ric61,ric62,ric63,ric64,ric65,ric66,ric67,ric68,ric69,ric70,ric71,ric72,ric73,ric74,ric75,the_geom
HierarquiaUrbana_Regic2007.412,411845,4118451,PR,Pato Bragado,4631,135.285,41696.93,11091.541,5153.166,22314.922,9696.076,3137.301,5,Centro Local,,,Município Subordinado,0,,0,0,0,29,40.277778,5,33,20.886076,5,62,26.956522,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,4,8.637443,0,7,0,0,0,1,f,0,,0,,2,f,0,,0,,0,,1,f,0,,sim,POINT (-54.22551725483852 -24.626469559936947)
HierarquiaUrbana_Regic2007.413,500345,5003454,MS,Deodápolis,11261,831.263,61636.204,13225.491,9394.29,34005.634,13524.944,5010.789,5,Centro Local,,,Município Subordinado,0,,0,0,0,38,52.777778,4,26,16.455696,5,64,27.826087,6,2,2,24151,8,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,1.776041,11,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,2,f,0,,sim,POINT (-54.165507750040064 -22.276461376175835)
HierarquiaUrbana_Regic2007.414,430637,4306379,RS,Dilermando de Aguiar,3129,602.571,23156.208,11719.426,1329.882,9536.214,5483.494,570.686,5,Centro Local,,,Município Subordinado,0,,0,0,0,14,19.444444,6,7,4.43038,6,21,9.130435,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-54.20854109328516 -29.706485030430475)
HierarquiaUrbana_Regic2007.415,411585,4115853,PR,Mercedes,4713,200.864,54480.048,16462.028,7717.274,25775.775,7510.97,4524.971,5,Centro Local,,,Município Subordinado,0,,0,0,0,23,31.944444,5,21,13.291139,5,44,19.130435,6,1,1,8179,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,4.243582,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-54.1625160887082 -24.454469189013906)
HierarquiaUrbana_Regic2007.416,150600,1506005,PA,Prainha,26436,12599.481,87123.309,37491.125,7711.327,40267.039,29025.297,1653.818,5,Centro Local,,,Município Subordinado,0,,0,0,0,11,15.277778,6,8,5.063291,6,19,8.26087,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,11,6,0,0,0,1,f,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-53.48046570484688 -1.8003574090482906)
HierarquiaUrbana_Regic2007.417,430600,4306007,RS,Crissiumal,14726,362.151,114089.15,32261.392,20136.169,54440.963,18465.949,7250.626,5,Centro Local,,,Centro de Zona,0,,0,0,0,37,51.388889,4,38,24.050633,5,75,32.608696,5,3,2,24110,8,1,0,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,18,12.223279,11,6,0,0,0,1,f,3,f,0,,2,f,0,,1,f,0,,9,e,5,f,sim,POINT (-54.10152910262286 -27.500479201992913)
HierarquiaUrbana_Regic2007.418,431697,4316972,RS,Santa Margarida do Sul,2163,956.148,31561.07,17189.398,1915.414,11183.201,4382.153,1273.057,5,Centro Local,,,Município Subordinado,0,,0,0,0,9,12.5,6,4,2.531646,6,13,5.652174,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-54.079543544194095 -30.339487225694)
HierarquiaUrbana_Regic2007.419,510420,5104203,MT,Guiratinga,13883,5358.322,168929.419,108531.07,5345.063,47581.649,16268.17,7471.637,5,Centro Local,4b,Centro local B,Centro de Zona,0,,0,0,0,34,47.222222,5,44,27.848101,5,78,33.913043,5,3,2,56263,8,1,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,6,4.321832,0,7,0,0,0,1,f,2,f,0,,2,f,2,f,1,f,0,,0,,1,f,sim,POINT (-53.758486918114095 -16.34943775187417)
HierarquiaUrbana_Regic2007.420,410715,4107157,PR,Diamante D'Oeste,4944,309.109,25664.736,10078.308,1873.292,12235.543,5297.601,1477.593,5,Centro Local,,,Município Subordinado,0,,0,0,0,25,34.722222,5,17,10.759494,5,42,18.26087,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,1,f,0,,0,,0,,1,f,0,,não,POINT (-54.103517672580296 -24.94347105350199)
HierarquiaUrbana_Regic2007.421,412545,4125456,PR,São José das Palmeiras,3873,182.418,26199.868,10826.383,1524.323,12448.671,5314.828,1400.491,5,Centro Local,,,Município Subordinado,0,,0,0,0,21,29.166667,5,18,11.392405,5,39,16.956522,6,1,1,173,8,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,2.581978,0,7,0,0,0,1,f,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-54.0645169487157 -24.838470834129037)
HierarquiaUrbana_Regic2007.422,500025,5000252,MS,Alcinópolis,4299,4399.676,54874.099,30980.924,1246.108,17077.067,7393.916,5570,5,Centro Local,,,Município Subordinado,0,,0,0,0,20,27.777778,5,15,9.493671,6,35,15.217391,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,2.326122,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.70649178546409 -18.32444671564337)
HierarquiaUrbana_Regic2007.423,500710,5007109,MS,Ribas do Rio Pardo,19159,17308.718,314544.684,112465.271,74337.107,90291.792,29537.653,37450.514,5,Centro Local,,,Município Subordinado,0,,0,0,0,42,58.333333,4,36,22.78481,5,78,33.913043,5,1,1,1252,8,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,9,4.697531,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.75949856956076 -20.443455460403925)
HierarquiaUrbana_Regic2007.688,421535,4215356,SC,Saltinho,4072,156.528,28699.147,15832.258,2093.86,9939.735,4709.143,833.294,5,Centro Local,,,Município Subordinado,0,,0,0,0,7,9.722222,6,12,7.594937,6,19,8.26087,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.05651704481752 -26.60948029771133)
HierarquiaUrbana_Regic2007.424,432147,4321477,RS,Tiradentes do Sul,6928,234.482,42926.274,18614.269,2804.232,19816.841,9119.924,1690.932,5,Centro Local,,,Município Subordinado,0,,0,0,0,19,26.388889,6,11,6.962025,6,30,13.043478,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1.443418,11,6,0,0,0,0,,0,,0,,0,,0,,0,,0,,1,f,1,f,sim,POINT (-54.0845284878885 -27.398478960284113)
HierarquiaUrbana_Regic2007.425,510779,5107792,MT,Santo Antônio do Leste,3249,3596.798,209664.246,163429.887,7991.044,30255.586,7764.717,7987.729,5,Centro Local,,,Município Subordinado,0,,0,0,0,18,25,6,12,7.594937,6,30,13.043478,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,sim,POINT (-53.64048245379037 -14.796430689327568)
HierarquiaUrbana_Regic2007.426,431301,4313011,RS,Nova Candelária,2739,97.832,30331.177,17165.199,1977.694,10139.22,4647.816,1049.064,5,Centro Local,,,Município Subordinado,0,,0,0,0,14,19.444444,6,6,3.797468,6,20,8.695652,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,7.301935,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,não,POINT (-54.10752966017414 -27.607479499887095)
HierarquiaUrbana_Regic2007.427,431532,4315321,RS,Quevedos,2732,543.36,23015.657,11202.802,1051.554,9863.306,4762.711,897.995,5,Centro Local,,,Município Subordinado,0,,0,0,0,12,16.666667,6,5,3.164557,6,17,7.391304,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,7,0,0,0,0,,0,,0,,0,,0,,0,,0,,1,f,0,,sim,POINT (-54.07253817606162 -29.35348462978467)
HierarquiaUrbana_Regic2007.428,411580,4115804,PR,Medianeira,38397,328.733,411655.642,25947.68,97598.293,239315.727,47741.877,48793.942,4A,Centro de Zona A,,,Centro de Zona,4,Médio,5,8,6,52,72.222222,4,73,46.202532,5,125,54.347826,4,5,5,108666,6,1,1,1,1,1,0,0,0,8,5,1729,5,0,,,4,6,6,102,26.564575,0,7,0,2,53,17,e,7,e,13,e,4,f,6,e,6,e,0,,5,f,5,f,,POINT (-54.094519091465266 -25.295472261813654)
