no_cidade,nome_da_nidade,gid,valor,taxa
"Mulungu","Mulungu","7236","1","1"
"Viçosa","Viçosa","11055","1","1"
"Atalaia do Norte","Atalaia do Norte","10140","6","6"
"Goianápolis","Goianápolis","7532","2","2"
"Gouveia","Gouveia","10525","2","2"
"Ourinhos","Ourinhos","8661","6","6"
"Hulha Negra","Hulha Negra","9465","3","3"
"Ipiranga do Sul","Ipiranga do Sul","9480","1","1"
"Jaboticaba","Jaboticaba","9490","2","2"
"Mocajuba","Mocajuba","5645","2","2"
"Miravânia","Miravânia","10699","2","2"
"Mogi das Cruzes","Mogi das Cruzes","8614","7","7"
"Coimbra","Coimbra","10395","0","0"
"Paula Freitas","Paula Freitas","5991","0","0"
"Cristal do Sul","Cristal do Sul","9395","1","1"
"Jaborandi","Jaborandi","7967","0","0"
"Santa Rosa da Serra","Santa Rosa da Serra","10907","0","0"
"Nova Aurora","Nova Aurora","5963","0","0"
"Barros Cassal","Barros Cassal","9312","0","0"
"Afuá","Afuá","5577","1","1"
"Fernandes Pinheiro","Fernandes Pinheiro","5844","0","0"
"Gentil","Gentil","9450","0","0"
"Mandaguaçu","Mandaguaçu","5930","1","1"
"Independência","Independência","9477","1","1"
"Vicentinópolis","Vicentinópolis","7684","1","1"
"Presidente Epitácio","Presidente Epitácio","8734","0","0"
"Craíbas","Craíbas","10057","2","2"
"Turvolândia","Turvolândia","11030","1","1"
"Serra do Mel","Serra do Mel","6573","1","1"
"Felixlândia","Felixlândia","10497","1","1"
"Colorado","Colorado","5813","1","1"
"Jundiaí","Jundiaí","8564","7","7"
"Inhuma","Inhuma","6986","2","2"
"Poços de Caldas","Poços de Caldas","10816","6","6"
"Belford Roxo","Belford Roxo","8187","12","12"
"Pauini","Pauini","10181","2","2"
"Abreulândia","Abreulândia","8916","0","0"
"Toritama","Toritama","10020","5","5"
"Jaborandi","Jaborandi","8546","1","1"
"Sertaneja","Sertaneja","6097","0","0"
"Pau Brasil","Pau Brasil","8054","1","1"
"Palmácia","Palmácia","7247","0","0"
"Sem-Peixe","Sem-Peixe","10982","0","0"
"Tangará","Tangará","6398","1","1"
"São Miguel do Araguaia","São Miguel do Araguaia","7660","2","2"
"Curuçá","Curuçá","5618","6","6"
"Itacarambi","Itacarambi","10576","2","2"
"Marumbi","Marumbi","5947","0","0"
"São Gonçalo do Amarante","São Gonçalo do Amarante","7277","6","6"
"Pingo-d'Água","Pingo-d'Água","10802","0","0"
"Cacimba de Dentro","Cacimba de Dentro","6639","4","4"
"Pedro Régis","Pedro Régis","6752","2","2"
"Almeirim","Almeirim","5580","2","2"
"Serrinha","Serrinha","8136","5","5"
"Caiçara","Caiçara","9336","1","1"
"Rio Bonito do Iguaçu","Rio Bonito do Iguaçu","6040","1","1"
"Aparecida","Aparecida","6605","0","0"
"Monte Santo","Monte Santo","8021","3","3"
"Governador Nunes Freire","Governador Nunes Freire","9136","8","8"
"Bandeira do Sul","Bandeira do Sul","10269","0","0"
"Salinas da Margarida","Salinas da Margarida","8096","2","2"
"Rialma","Rialma","7635","1","1"
"Inácio Martins","Inácio Martins","5880","0","0"
"Restinga","Restinga","8749","1","1"
"Lajes Pintadas","Lajes Pintadas","6502","3","3"
"Serra Azul de Minas","Serra Azul de Minas","10993","0","0"
"Capão Alto","Capão Alto","6185","1","1"
"Frei Rogério","Frei Rogério","6224","0","0"
"Senhora dos Remédios","Senhora dos Remédios","10990","0","0"
"Silves","Silves","10189","0","0"
"Jaguapitã","Jaguapitã","5901","2","2"
"Nova Viçosa","Nova Viçosa","8042","1","1"
"Novo Brasil","Novo Brasil","7606","2","2"
"Luzerna","Luzerna","6283","1","1"
"Salesópolis","Salesópolis","8775","1","1"
"Ouro","Ouro","6309","1","1"
"Divinópolis de Goiás","Divinópolis de Goiás","7531","3","3"
"Bom Jesus do Tocantins","Bom Jesus do Tocantins","5595","2","2"
"São Bento do Trairí","São Bento do Trairí","6555","1","1"
"Atibaia","Atibaia","8318","5","5"
"Cosmorama","Cosmorama","8414","0","0"
"Itobi","Itobi","8542","0","0"
"Rio Tinto","Rio Tinto","6758","0","0"
"Umburanas","Umburanas","8161","1","1"
"São Pedro dos Ferros","São Pedro dos Ferros","10962","0","0"
"Jucati","Jucati","9941","1","1"
"Pirapora","Pirapora","10810","4","4"
"Morpará","Morpará","8022","2","2"
"Tiros","Tiros","11019","0","0"
"Novo Machado","Novo Machado","9559","2","2"
"Belém do Piauí","Belém do Piauí","6916","1","1"
"Lavras","Lavras","10648","4","4"
"Vera Cruz","Vera Cruz","8906","0","0"
"Quatro Barras","Quatro Barras","6022","4","4"
"Grupiara","Grupiara","10528","0","0"
"São Sebastião de Lagoa de Roça","São Sebastião de Lagoa de Roça","6791","3","3"
"Piaçabuçu","Piaçabuçu","10106","1","1"
"São José da Barra","São José da Barra","10950","1","1"
"Senador Salgado Filho","Senador Salgado Filho","9697","0","0"
"Juazeiro do Piauí","Juazeiro do Piauí","7000","1","1"
"Lastro","Lastro","6699","0","0"
"Catende","Catende","9894","1","1"
"Serra dos Aimorés","Serra dos Aimorés","10995","0","0"
"Terra Roxa","Terra Roxa","8878","1","1"
"Salgueiro","Salgueiro","9985","2","2"
"Salgado de São Félix","Salgado de São Félix","6760","3","3"
"Ariranha do Ivaí","Ariranha do Ivaí","5756","0","0"
"Saltinho","Saltinho","6358","0","0"
"Agricolândia","Agricolândia","6893","1","1"
"Prata","Prata","6746","1","1"
"Paulistas","Paulistas","10776","2","2"
"Grossos","Grossos","6476","1","1"
"Toropi","Toropi","9722","0","0"
"Cotia","Cotia","8415","10","10"
"Solidão","Solidão","10010","1","1"
"Barbalha","Barbalha","7138","8","8"
"Uberaba","Uberaba","11034","9","9"
"Tupirama","Tupirama","9051","1","1"
"Anísio de Abreu","Anísio de Abreu","6902","1","1"
"São Caetano de Odivelas","São Caetano de Odivelas","5690","1","1"
"Anagé","Anagé","7775","4","4"
"Luisburgo","Luisburgo","10656","0","0"
"Massaranduba","Massaranduba","6291","1","1"
"Porto Vitória","Porto Vitória","6014","3","3"
"Araújos","Araújos","10254","0","0"
"Santa Cruz do Rio Pardo","Santa Cruz do Rio Pardo","8790","2","2"
"Boa Vista do Sul","Boa Vista do Sul","9319","0","0"
"Jordão","Jordão","6878","2","2"
"Igarapava","Igarapava","8500","3","3"
"Jataizinho","Jataizinho","5909","0","0"
"Formoso","Formoso","7529","1","1"
"Bonfim","Bonfim","10200","1","1"
"Assis","Assis","8317","4","4"
"Pedras de Fogo","Pedras de Fogo","6734","3","3"
"Lajinha","Lajinha","10643","3","3"
"Adelândia","Adelândia","7444","1","1"
"Campo Grande do Piauí","Campo Grande do Piauí","6936","1","1"
"Medina","Medina","10690","2","2"
"Mariluz","Mariluz","5941","1","1"
"Iporá","Iporá","7553","0","0"
"Queimados","Queimados","8239","10","10"
"Nova Aliança","Nova Aliança","8638","1","1"
"Limeira do Oeste","Limeira do Oeste","10654","0","0"
"Itapura","Itapura","8534","1","1"
"Patrocínio do Muriaé","Patrocínio do Muriaé","10774","0","0"
"Claraval","Claraval","10392","1","1"
"Ponte Alta do Norte","Ponte Alta do Norte","6334","1","1"
"Itamari","Itamari","7948","2","2"
"Mogeiro","Mogeiro","6715","4","4"
"Douradina","Douradina","5833","1","1"
"Catuji","Catuji","10380","1","1"
"Alcântaras","Alcântaras","7121","0","0"
"Garibaldi","Garibaldi","9446","1","1"
"Santo Antônio do Leste","Santo Antônio do Leste","7419","1","1"
"Caxambu","Caxambu","10382","1","1"
"Mimoso do Sul","Mimoso do Sul","11112","0","0"
"Floresta","Floresta","9911","6","6"
"Ilha de Itamaracá","Ilha de Itamaracá","9930","0","0"
"Novo Airão","Novo Airão","10178","2","2"
"Matipó","Matipó","10685","1","1"
"Tremembé","Tremembé","8884","0","0"
"Coremas","Coremas","6658","2","2"
"São José do Rio Claro","São José do Rio Claro","7409","1","1"
"Venturosa","Venturosa","10026","2","2"
"Rio Doce","Rio Doce","10852","0","0"
"São Sebastião do Tocantins","São Sebastião do Tocantins","9040","1","1"
"Irani","Irani","6253","1","1"
"Porciúncula","Porciúncula","8236","1","1"
"Ortigueira","Ortigueira","5976","1","1"
"Ribeirãozinho","Ribeirãozinho","7404","0","0"
"Araçariguama","Araçariguama","8301","1","1"
"Capivari do Sul","Capivari do Sul","9357","2","2"
"Porto Walter","Porto Walter","6883","5","5"
"Navegantes","Navegantes","6301","6","6"
"Altamira do Paraná","Altamira do Paraná","5738","1","1"
"Igarapé Grande","Igarapé Grande","9143","2","2"
"Barro Alto","Barro Alto","7471","0","0"
"Guaraciama","Guaraciama","10532","1","1"
"Monte Alto","Monte Alto","8621","0","0"
"Alvorada D'Oeste","Alvorada D'Oeste","6842","2","2"
"Pires do Rio","Pires do Rio","7626","3","3"
"Bom Lugar","Bom Lugar","9090","6","6"
"Inajá","Inajá","5881","0","0"
"Carmópolis","Carmópolis","7700","2","2"
"Boa Esperança","Boa Esperança","11077","3","3"
"Charqueada","Charqueada","8403","1","1"
"Coronel Bicaco","Coronel Bicaco","9389","3","3"
"São Sebastião do Umbuzeiro","São Sebastião do Umbuzeiro","6792","2","2"
"Douradoquara","Douradoquara","10473","0","0"
"Tanque Novo","Tanque Novo","8145","3","3"
"Bocaiúva","Bocaiúva","10289","3","3"
"Mar Vermelho","Mar Vermelho","10085","0","0"
"Sinop","Sinop","7424","21","21"
"Cristianópolis","Cristianópolis","7512","0","0"
"Pavussu","Pavussu","7047","0","0"
"Jequeri","Jequeri","10615","2","2"
"Remígio","Remígio","6751","6","6"
"Bozano","Bozano","9326","0","0"
"Monte Castelo","Monte Castelo","8624","1","1"
"São Valério","São Valério","9041","0","0"
"Franciscópolis","Franciscópolis","10509","0","0"
"Carmópolis de Minas","Carmópolis de Minas","10368","1","1"
"Ubirajara","Ubirajara","8893","0","0"
"Riqueza","Riqueza","6354","0","0"
"Aiuruoca","Aiuruoca","10223","0","0"
"Alvorada do Sul","Alvorada do Sul","5742","0","0"
"Tailândia","Tailândia","5704","5","5"
"Francisco Morato","Francisco Morato","8457","8","8"
"Fonte Boa","Fonte Boa","10158","2","2"
"Araçoiaba","Araçoiaba","9859","1","1"
"Caeté","Caeté","10320","2","2"
"Barão de Grajaú","Barão de Grajaú","9079","3","3"
"Mossâmedes","Mossâmedes","7592","0","0"
"Barão de Antonina","Barão de Antonina","8327","0","0"
"Divisópolis","Divisópolis","10461","1","1"
"Conceição de Ipanema","Conceição de Ipanema","10402","0","0"
"Fernando Falcão","Fernando Falcão","9125","2","2"
"Schroeder","Schroeder","6391","1","1"
"Cariri do Tocantins","Cariri do Tocantins","8946","2","2"
"Miguel Leão","Miguel Leão","7019","0","0"
"Pontalinda","Pontalinda","8720","0","0"
"São Fidélis","São Fidélis","8250","0","0"
"Victor Graeff","Victor Graeff","9758","0","0"
"Porto Mauá","Porto Mauá","9599","0","0"
"Bayeux","Bayeux","6620","1","1"
"Guapé","Guapé","10530","2","2"
"Capinzal","Capinzal","6192","3","3"
"Santa Maria","Santa Maria","6529","3","3"
"São Francisco","São Francisco","10924","2","2"
"Artur Nogueira","Artur Nogueira","8314","4","4"
"Aragominas","Aragominas","8924","0","0"
"Nova Canaã","Nova Canaã","8036","0","0"
"Antônio Prado de Minas","Antônio Prado de Minas","10245","0","0"
"Damião","Damião","6667","1","1"
"Marechal Deodoro","Marechal Deodoro","10083","4","4"
"Saquarema","Saquarema","8259","1","1"
"Valença","Valença","8267","7","7"
"Itaberaí","Itaberaí","7555","4","4"
"Vicente Dutra","Vicente Dutra","9757","2","2"
"Quatis","Quatis","8238","2","2"
"Santana do Seridó","Santana do Seridó","6552","0","0"
"Surubim","Surubim","10011","4","4"
"São João da Mata","São João da Mata","10938","0","0"
"Pomerode","Pomerode","6332","2","2"
"Palmares","Palmares","9962","2","2"
"Matinha","Matinha","9168","3","3"
"São Domingos do Sul","São Domingos do Sul","9654","1","1"
"Crateús","Crateús","7165","7","7"
"Ibicuí","Ibicuí","7911","0","0"
"Ibiassucê","Ibiassucê","7908","2","2"
"São Francisco de Paula","São Francisco de Paula","10925","0","0"
"Eugênio de Castro","Eugênio de Castro","9432","0","0"
"Nhamundá","Nhamundá","10176","2","2"
"Ibicaré","Ibicaré","6239","1","1"
"Governador Jorge Teixeira","Governador Jorge Teixeira","6853","4","4"
"Urucuia","Urucuia","11041","1","1"
"Itaquaquecetuba","Itaquaquecetuba","8535","8","8"
"Vale do Paraíso","Vale do Paraíso","6869","2","2"
"Cafelândia","Cafelândia","8370","1","1"
"Chapadão do Lageado","Chapadão do Lageado","6198","0","0"
"Cristais","Cristais","10434","1","1"
"Sertanópolis","Sertanópolis","6098","1","1"
"Peritiba","Peritiba","6324","1","1"
"Malhada dos Bois","Malhada dos Bois","7722","1","1"
"Nova Redenção","Nova Redenção","8040","2","2"
"Jequitinhonha","Jequitinhonha","10618","1","1"
"Itaguaí","Itaguaí","8208","1","1"
"Barra do Corda","Barra do Corda","9080","3","3"
"Colorado do Oeste","Colorado do Oeste","6823","2","2"
"Nazarezinho","Nazarezinho","6721","2","2"
"Diamante do Norte","Diamante do Norte","5829","0","0"
"Travesseiro","Travesseiro","9725","0","0"
"Jussara","Jussara","7981","0","0"
"Muaná","Muaná","5649","5","5"
"Oriximiná","Oriximiná","5657","2","2"
"Jucás","Jucás","7215","3","3"
"Gracho Cardoso","Gracho Cardoso","7710","0","0"
"Cataguases","Cataguases","10377","1","1"
"Buenos Aires","Buenos Aires","9876","1","1"
"Jardim de Angicos","Jardim de Angicos","6488","2","2"
"Itajuípe","Itajuípe","7946","2","2"
"Nova Olinda do Maranhão","Nova Olinda do Maranhão","9181","2","2"
"Lapa","Lapa","5916","4","4"
"Chupinguaia","Chupinguaia","6851","1","1"
"Arauá","Arauá","7690","2","2"
"Caibi","Caibi","6182","2","2"
"Itatiaia","Itatiaia","8212","6","6"
"Mairinque","Mairinque","8590","1","1"
"Urupema","Urupema","6414","0","0"
"Nova Crixás","Nova Crixás","7601","2","2"
"Sapucaia","Sapucaia","8258","3","3"
"Sanharó","Sanharó","9987","2","2"
"Caém","Caém","7825","0","0"
"Birigui","Birigui","8344","7","7"
"Ouro Verde do Oeste","Ouro Verde do Oeste","5978","0","0"
"Pontal do Paraná","Pontal do Paraná","6009","1","1"
"Cantagalo","Cantagalo","8196","1","1"
"Montauri","Montauri","9527","0","0"
"Careiro","Careiro","10152","3","3"
"Frecheirinha","Frecheirinha","7176","1","1"
"Eldorado","Eldorado","8434","1","1"
"São Pedro das Missões","São Pedro das Missões","9680","0","0"
"São Gonçalo dos Campos","São Gonçalo dos Campos","8120","0","0"
"Americano do Brasil","Americano do Brasil","7454","0","0"
"São Bernardo do Campo","São Bernardo do Campo","8815","8","8"
"Pirpirituba","Pirpirituba","6740","1","1"
"Quijingue","Quijingue","8079","4","4"
"Iguatama","Iguatama","10555","0","0"
"São Miguel do Fidalgo","São Miguel do Fidalgo","7094","0","0"
"Sossêgo","Sossêgo","6804","4","4"
"Maceió","Maceió","10079","21","21"
"Pedra Branca do Amapari","Pedra Branca do Amapari","5720","5","5"
"Itaipava do Grajaú","Itaipava do Grajaú","9145","2","2"
"Rafael Jambeiro","Rafael Jambeiro","8081","1","1"
"Estrela do Indaiá","Estrela do Indaiá","10487","0","0"
"Araranguá","Araranguá","6151","6","6"
"Senhor do Bonfim","Senhor do Bonfim","8131","3","3"
"Domingos Martins","Domingos Martins","11087","2","2"
"Novo Tiradentes","Novo Tiradentes","9560","1","1"
"Paquetá","Paquetá","7040","0","0"
"Jandaíra","Jandaíra","7973","0","0"
"Pedranópolis","Pedranópolis","8686","1","1"
"Juarina","Juarina","8980","0","0"
"Jacaraú","Jacaraú","6688","2","2"
"Pimenta","Pimenta","10801","1","1"
"Gramado","Gramado","9454","0","0"
"Rosário do Ivaí","Rosário do Ivaí","6047","0","0"
"Claro dos Poções","Claro dos Poções","10393","0","0"
"Mateiros","Mateiros","8988","0","0"
"Milagres do Maranhão","Milagres do Maranhão","9171","1","1"
"Barra Funda","Barra Funda","9311","0","0"
"Urubici","Urubici","6413","0","0"
"Antônio Olinto","Antônio Olinto","5749","1","1"
"Leopoldina","Leopoldina","10651","0","0"
"Corumbataí","Corumbataí","8412","1","1"
"Rondon do Pará","Rondon do Pará","5676","1","1"
"Ibirapitanga","Ibirapitanga","7915","2","2"
"São José dos Quatro Marcos","São José dos Quatro Marcos","7401","0","0"
"Santa Margarida","Santa Margarida","10887","0","0"
"Juti","Juti","9815","1","1"
"Cesário Lange","Cesário Lange","8402","2","2"
"Dois Irmãos das Missões","Dois Irmãos das Missões","9404","0","0"
"Padre Marcos","Padre Marcos","7035","0","0"
"Ibiaçá","Ibiaçá","9468","1","1"
"Bonito de Minas","Bonito de Minas","10299","1","1"
"Salinópolis","Salinópolis","5678","6","6"
"João Dourado","João Dourado","7978","4","4"
"Xanxerê","Xanxerê","6423","3","3"
"Santo Amaro das Brotas","Santo Amaro das Brotas","7751","0","0"
"Cândido Rodrigues","Cândido Rodrigues","8386","1","1"
"Tocantínia","Tocantínia","9049","1","1"
"Aroeiras","Aroeiras","6612","3","3"
"Rubinéia","Rubinéia","8770","0","0"
"Clevelândia","Clevelândia","5811","1","1"
"Amarante","Amarante","6900","5","5"
"Tapejara","Tapejara","6103","1","1"
"Guaíba","Guaíba","9459","0","0"
"Melgaço","Melgaço","5644","4","4"
"Canapi","Canapi","10049","1","1"
"Ribeirópolis","Ribeirópolis","7745","2","2"
"Canelinha","Canelinha","6190","1","1"
"Cardeal da Silva","Cardeal da Silva","7849","0","0"
"Lagoa Bonita do Sul","Lagoa Bonita do Sul","9499","0","0"
"Bacabeira","Bacabeira","9075","1","1"
"Jeceaba","Jeceaba","10613","0","0"
"Laranja da Terra","Laranja da Terra","11106","4","4"
"Astolfo Dutra","Astolfo Dutra","10262","0","0"
"Paraguaçu Paulista","Paraguaçu Paulista","8670","3","3"
"Rio Grande da Serra","Rio Grande da Serra","8765","2","2"
"Miraíma","Miraíma","7228","2","2"
"Laranjal do Jari","Laranjal do Jari","5725","2","2"
"Santa Luzia","Santa Luzia","9218","21","21"
"Moeda","Moeda","10700","1","1"
"Piraquara","Piraquara","6003","4","4"
"Feliz Natal","Feliz Natal","7342","3","3"
"Quilombo","Quilombo","6344","0","0"
"Arraial","Arraial","6906","1","1"
"Itajá","Itajá","7558","1","1"
"Fortuna","Fortuna","9128","2","2"
"Amparo","Amparo","6604","0","0"
"Inhaúma","Inhaúma","10564","0","0"
"Monsenhor Tabosa","Monsenhor Tabosa","7231","2","2"
"Pedro Canário","Pedro Canário","11119","4","4"
"Regente Feijó","Regente Feijó","8746","4","4"
"Riachão do Dantas","Riachão do Dantas","7743","0","0"
"Mostardas","Mostardas","9535","0","0"
"Cambará","Cambará","5784","1","1"
"Guarantã","Guarantã","8476","2","2"
"Lindóia do Sul","Lindóia do Sul","6280","0","0"
"Turvelândia","Turvelândia","7676","1","1"
"Talismã","Talismã","9047","0","0"
"Dom Viçoso","Dom Viçoso","10466","1","1"
"Atalaia","Atalaia","5760","3","3"
"Bossoroca","Bossoroca","9325","1","1"
"Potengi","Potengi","7261","2","2"
"Gentio do Ouro","Gentio do Ouro","7899","0","0"
"Milton Brandão","Milton Brandão","7020","1","1"
"Monções","Monções","8618","1","1"
"Passo Fundo","Passo Fundo","9576","9","9"
"Carapebus","Carapebus","8193","1","1"
"Tabira","Tabira","10012","4","4"
"Bela Vista de Goiás","Bela Vista de Goiás","7472","3","3"
"Graça","Graça","7178","2","2"
"Caicó","Caicó","6450","7","7"
"Campo Alegre de Lourdes","Campo Alegre de Lourdes","7834","1","1"
"Santa Isabel","Santa Isabel","8794","1","1"
"São José dos Basílios","São José dos Basílios","9239","2","2"
"Campina Grande do Sul","Campina Grande do Sul","5789","1","1"
"Benevides","Benevides","5594","6","6"
"Petrolina","Petrolina","9973","11","11"
"Arneiroz","Arneiroz","7133","2","2"
"Linhares","Linhares","11107","5","5"
"Elias Fausto","Elias Fausto","8435","2","2"
"Porto Calvo","Porto Calvo","10111","5","5"
"Cajueiro","Cajueiro","10045","2","2"
"Esperança do Sul","Esperança do Sul","9425","1","1"
"Caririaçu","Caririaçu","7153","5","5"
"Bertioga","Bertioga","8342","1","1"
"Imbituva","Imbituva","5879","1","1"
"Poço Branco","Poço Branco","6537","2","2"
"Campanário","Campanário","10328","0","0"
"Grão Mogol","Grão Mogol","10527","2","2"
"Cocal do Sul","Cocal do Sul","6200","2","2"
"Baixo Guandu","Baixo Guandu","11075","3","3"
"Cordeiro","Cordeiro","8201","1","1"
"Pitanga","Pitanga","6004","2","2"
"Angical do Piauí","Angical do Piauí","6901","1","1"
"Acará","Acará","5576","6","6"
"Rondinha","Rondinha","9623","0","0"
"Terra Santa","Terra Santa","5706","2","2"
"Vieiras","Vieiras","11056","1","1"
"São Pedro dos Crentes","São Pedro dos Crentes","9244","0","0"
"Palmas","Palmas","9048","21","21"
"Colinas","Colinas","9115","6","6"
"Taperoá","Taperoá","6808","2","2"
"Rurópolis","Rurópolis","5677","3","3"
"Olho d'Água das Cunhãs","Olho d'Água das Cunhãs","9182","0","0"
"Quebrangulo","Quebrangulo","10114","3","3"
"Araripina","Araripina","9860","2","2"
"Arambaré","Arambaré","9289","1","1"
"Capim","Capim","6647","1","1"
"Campos Borges","Campos Borges","9345","1","1"
"São Sebastião do Passé","São Sebastião do Passé","8124","4","4"
"Diamante","Diamante","6670","2","2"
"Aurora do Pará","Aurora do Pará","5586","3","3"
"Constantina","Constantina","9385","1","1"
"Passa e Fica","Passa e Fica","6526","1","1"
"Condado","Condado","6655","2","2"
"Três Palmeiras","Três Palmeiras","9731","0","0"
"Mendonça","Mendonça","8602","1","1"
"Miracatu","Miracatu","8607","4","4"
"São Bento do Sul","São Bento do Sul","6370","3","3"
"São Pedro da Aldeia","São Pedro da Aldeia","8256","8","8"
"Nova Maringá","Nova Maringá","7439","3","3"
"José da Penha","José da Penha","6493","2","2"
"São Roque do Canaã","São Roque do Canaã","11133","0","0"
"Glória D'Oeste","Glória D'Oeste","7346","0","0"
"Terra Nova do Norte","Terra Nova do Norte","7429","2","2"
"Santo Antônio","Santo Antônio","6553","3","3"
"Pedralva","Pedralva","10784","0","0"
"São Luís do Paraitinga","São Luís do Paraitinga","8830","0","0"
"São Paulo das Missões","São Paulo das Missões","9678","1","1"
"Caldas Novas","Caldas Novas","7488","10","10"
"Papanduva","Papanduva","6317","3","3"
"Itacaré","Itacaré","7939","2","2"
"Ubaíra","Ubaíra","8157","0","0"
"Pérola","Pérola","5995","0","0"
"Prado Ferreira","Prado Ferreira","6015","0","0"
"Santa Rita de Cássia","Santa Rita de Cássia","8108","1","1"
"Sanclerlândia","Sanclerlândia","7640","1","1"
"Pedro do Rosário","Pedro do Rosário","9193","1","1"
"Dois Irmãos do Buriti","Dois Irmãos do Buriti","9798","3","3"
"Duque Bacelar","Duque Bacelar","9121","0","0"
"São João da Ponte","São João da Ponte","10939","2","2"
"Tabuleiro do Norte","Tabuleiro do Norte","7284","2","2"
"Aporá","Aporá","7783","1","1"
"Tunas","Tunas","9736","1","1"
"Lambari","Lambari","10644","0","0"
"Santa Rita do Novo Destino","Santa Rita do Novo Destino","7647","0","0"
"Altair","Altair","8281","2","2"
"Simão Dias","Simão Dias","7756","16","16"
"Lagoa Dourada","Lagoa Dourada","10639","1","1"
"Pouso Alto","Pouso Alto","10826","0","0"
"Cônego Marinho","Cônego Marinho","10407","0","0"
"Crucilândia","Crucilândia","10438","0","0"
"Aurora","Aurora","7135","7","7"
"Iguaraçu","Iguaraçu","5876","1","1"
"Campo Belo do Sul","Campo Belo do Sul","6187","0","0"
"Alto Rio Novo","Alto Rio Novo","11070","0","0"
"Apucarana","Apucarana","5750","5","5"
"Goiás","Goiás","7537","4","4"
"Igaporã","Igaporã","7922","3","3"
"Pratânia","Pratânia","8731","0","0"
"Itacuruba","Itacuruba","9928","1","1"
"Riachão do Poço","Riachão do Poço","6755","0","0"
"Ibaiti","Ibaiti","5872","1","1"
"Nova Belém","Nova Belém","10729","2","2"
"Santa Cruz de Goiás","Santa Cruz de Goiás","7642","0","0"
"Ibateguara","Ibateguara","10065","1","1"
"Materlândia","Materlândia","10681","1","1"
"Senador Cortes","Senador Cortes","10984","0","0"
"Novo Horizonte do Sul","Novo Horizonte do Sul","9825","0","0"
"Cachoeira","Cachoeira","7823","0","0"
"Gameleira","Gameleira","9913","1","1"
"Buritirama","Buritirama","7820","1","1"
"Amélia Rodrigues","Amélia Rodrigues","7773","3","3"
"Durandé","Durandé","10474","0","0"
"Jaguariúna","Jaguariúna","8551","4","4"
"Benedito Novo","Benedito Novo","6167","1","1"
"Indiara","Indiara","7549","1","1"
"São Benedito do Sul","São Benedito do Sul","9995","4","4"
"Lagoa Salgada","Lagoa Salgada","6500","1","1"
"Guaraí","Guaraí","8972","3","3"
"Sena Madureira","Sena Madureira","6888","8","8"
"Novo Triunfo","Novo Triunfo","8044","0","0"
"Santa Cruz da Esperança","Santa Cruz da Esperança","8788","1","1"
"Candeias do Jamari","Candeias do Jamari","6849","2","2"
"Ananindeua","Ananindeua","5583","13","13"
"Sombrio","Sombrio","6395","6","6"
"Brejolândia","Brejolândia","7816","4","4"
"Santo Antônio da Platina","Santo Antônio da Platina","6067","1","1"
"Francisco Dantas","Francisco Dantas","6471","0","0"
"Poço das Trincheiras","Poço das Trincheiras","10110","2","2"
"Gonçalves","Gonçalves","10523","0","0"
"Itaubal","Itaubal","5724","3","3"
"Bonfinópolis","Bonfinópolis","7475","1","1"
"São Vicente Ferrer","São Vicente Ferrer","10004","5","5"
"Chorrochó","Chorrochó","7857","1","1"
"União de Minas","União de Minas","11038","0","0"
"Major Gercino","Major Gercino","6286","0","0"
"Piranguinho","Piranguinho","10808","0","0"
"Nova Porteirinha","Nova Porteirinha","10734","0","0"
"Iaras","Iaras","8491","0","0"
"Santo Amaro do Maranhão","Santo Amaro do Maranhão","9223","1","1"
"Fronteiras","Fronteiras","6979","3","3"
"Itumbiara","Itumbiara","7564","4","4"
"Uruçuca","Uruçuca","8164","3","3"
"Santo Expedito","Santo Expedito","8811","0","0"
"Fátima do Sul","Fátima do Sul","9802","2","2"
"Farroupilha","Farroupilha","9434","8","8"
"Rio Espera","Rio Espera","10854","0","0"
"Maripá","Maripá","5944","0","0"
"São Domingos","São Domingos","6374","3","3"
"Alfenas","Alfenas","10227","2","2"
"Novorizonte","Novorizonte","10739","1","1"
"Santa Ernestina","Santa Ernestina","8791","0","0"
"Colíder","Colíder","7331","3","3"
"Timbó Grande","Timbó Grande","6403","2","2"
"Matão","Matão","8600","6","6"
"Areia de Baraúnas","Areia de Baraúnas","6610","0","0"
"Mascote","Mascote","8013","1","1"
"Olindina","Olindina","8045","0","0"
"Ipiranga","Ipiranga","5883","1","1"
"Jardinópolis","Jardinópolis","8555","3","3"
"São João del Rei","São João del Rei","10941","2","2"
"Nova Santa Bárbara","Nova Santa Bárbara","5971","0","0"
"Sapezal","Sapezal","7422","2","2"
"Bom Jardim da Serra","Bom Jardim da Serra","6172","1","1"
"Conquista D'Oeste","Conquista D'Oeste","7335","0","0"
"Arroio Trinta","Arroio Trinta","6153","0","0"
"Gramado dos Loureiros","Gramado dos Loureiros","9455","0","0"
"Pavão","Pavão","10777","1","1"
"Piratini","Piratini","9591","2","2"
"Caiapônia","Caiapônia","7487","2","2"
"Jaguaripe","Jaguaripe","7972","2","2"
"Santa Bárbara do Tugúrio","Santa Bárbara do Tugúrio","10878","0","0"
"Jurema","Jurema","7002","2","2"
"São Thomé das Letras","São Thomé das Letras","10976","1","1"
"Vista Alegre do Alto","Vista Alegre do Alto","8909","1","1"
"Taquarussu","Taquarussu","9844","0","0"
