no_cidade,nome_da_nidade,gid,valor,taxa
"Nova Petrópolis","Nova Petrópolis","9552","0","0"
"Curral Novo do Piauí","Curral Novo do Piauí","6962","3","3"
"Pontes Gestal","Pontes Gestal","8721","1","1"
"Ronda Alta","Ronda Alta","9622","1","1"
"Cutias","Cutias","5722","3","3"
"Aliança do Tocantins","Aliança do Tocantins","8918","1","1"
"Eliseu Martins","Eliseu Martins","6969","2","2"
"Entre Rios","Entre Rios","7886","4","4"
"São João da Ponta","São João da Ponta","5696","2","2"
"Redenção do Gurguéia","Redenção do Gurguéia","7060","4","4"
"Ubaporanga","Ubaporanga","11033","0","0"
"Caiuá","Caiuá","8373","0","0"
"Santa Teresinha","Santa Teresinha","8109","3","3"
"Santa Rita do Passa Quatro","Santa Rita do Passa Quatro","8801","3","3"
"Palmeira","Palmeira","5981","7","7"
"Cuiabá","Cuiabá","7337","15","15"
"Itutinga","Itutinga","10601","0","0"
"Caraguatatuba","Caraguatatuba","8391","4","4"
"Maranguape","Maranguape","7220","13","13"
"Mutum","Mutum","10719","5","5"
"Vitória do Xingu","Vitória do Xingu","5716","1","1"
"Prado","Prado","8074","0","0"
"Vazante","Vazante","11049","1","1"
"Cocal","Cocal","6948","5","5"
"Urânia","Urânia","8896","1","1"
"Bento Gonçalves","Bento Gonçalves","9314","5","5"
"Morada Nova de Minas","Morada Nova de Minas","10714","0","0"
"Acaraú","Acaraú","7118","6","6"
"Itaguatins","Itaguatins","8976","1","1"
"Poço Redondo","Poço Redondo","7739","5","5"
"Seritinga","Seritinga","10992","0","0"
"São Pedro","São Pedro","8834","2","2"
"Icém","Icém","8497","1","1"
"Jacutinga","Jacutinga","10605","3","3"
"Anori","Anori","10138","0","0"
"Ribeirão Branco","Ribeirão Branco","8752","1","1"
"Nonoai","Nonoai","9541","2","2"
"Equador","Equador","6465","1","1"
"Rio Negro","Rio Negro","9834","1","1"
"Nova Independência","Nova Independência","8645","0","0"
"São José do Calçado","São José do Calçado","11131","0","0"
"Oliveira Fortes","Oliveira Fortes","10744","0","0"
"Caseiros","Caseiros","9365","0","0"
"Vereda","Vereda","8173","1","1"
"Itacurubi","Itacurubi","9483","0","0"
"Tabocas do Brejo Velho","Tabocas do Brejo Velho","8143","1","1"
"Cruzeiro do Sul","Cruzeiro do Sul","9398","1","1"
"Sooretama","Sooretama","11135","2","2"
"São Miguel do Aleixo","São Miguel do Aleixo","7755","1","1"
"Echaporã","Echaporã","8433","0","0"
"Comendador Gomes","Comendador Gomes","10397","0","0"
"Planaltina","Planaltina","7627","8","8"
"Canindé de São Francisco","Canindé de São Francisco","7697","3","3"
"Bicas","Bicas","10285","0","0"
"Cachoeira de Minas","Cachoeira de Minas","10317","0","0"
"Barbosa","Barbosa","8328","0","0"
"Santa Rita d'Oeste","Santa Rita d'Oeste","8800","0","0"
"Viradouro","Viradouro","8908","1","1"
"Embu-Guaçu","Embu-Guaçu","8439","5","5"
"Iguaba Grande","Iguaba Grande","8206","6","6"
"Guaxupé","Guaxupé","10537","1","1"
"Nova Laranjeiras","Nova Laranjeiras","5968","0","0"
"Aparecida d'Oeste","Aparecida d'Oeste","8299","1","1"
"Cordisburgo","Cordisburgo","10419","1","1"
"Valparaíso","Valparaíso","8901","0","0"
"Araputanga","Araputanga","7311","2","2"
"São Miguel do Tocantins","São Miguel do Tocantins","9038","0","0"
"Cristinápolis","Cristinápolis","7702","7","7"
"São João do Triunfo","São João do Triunfo","6077","2","2"
"Alecrim","Alecrim","9276","0","0"
"Morrinhos do Sul","Morrinhos do Sul","9532","1","1"
"Reserva do Cabaçal","Reserva do Cabaçal","7402","0","0"
"Wanderley","Wanderley","8176","1","1"
"Três Ranchos","Três Ranchos","7672","0","0"
"Nova América","Nova América","7599","1","1"
"Maquiné","Maquiné","9513","1","1"
"Indaial","Indaial","6246","2","2"
"Sananduva","Sananduva","9631","1","1"
"Espigão Alto do Iguaçu","Espigão Alto do Iguaçu","5839","2","2"
"Formosa da Serra Negra","Formosa da Serra Negra","9126","6","6"
"Conde","Conde","6656","1","1"
"Sandovalina","Sandovalina","8781","0","0"
"São Geraldo do Baixio","São Geraldo do Baixio","10930","1","1"
"Palmeira do Piauí","Palmeira do Piauí","7038","2","2"
"Timbaúba","Timbaúba","10019","9","9"
"Pratinha","Pratinha","10830","1","1"
"Maripá de Minas","Maripá de Minas","10675","1","1"
"Janiópolis","Janiópolis","5904","1","1"
"Jenipapo dos Vieiras","Jenipapo dos Vieiras","9149","5","5"
"Estrela do Norte","Estrela do Norte","7523","0","0"
"Colares","Colares","5611","1","1"
"Pequizeiro","Pequizeiro","9011","1","1"
"Mataraca","Mataraca","6711","2","2"
"Palmares Paulista","Palmares Paulista","8666","1","1"
"Coivaras","Coivaras","6951","0","0"
"Vila Nova dos Martírios","Vila Nova dos Martírios","9268","2","2"
"Iomerê","Iomerê","6247","1","1"
"Humberto de Campos","Humberto de Campos","9140","0","0"
"Francisco Badaró","Francisco Badaró","10506","2","2"
"Planura","Planura","10814","2","2"
"Colômbia","Colômbia","8406","1","1"
"Cametá","Cametá","5605","16","16"
"Brasilândia","Brasilândia","9785","1","1"
"Japaratinga","Japaratinga","10071","1","1"
"Indiaporã","Indiaporã","8508","0","0"
"Belmiro Braga","Belmiro Braga","10276","0","0"
"Lagoa Grande","Lagoa Grande","9948","2","2"
"Pescaria Brava","Pescaria Brava","6325","0","0"
"Santa Isabel","Santa Isabel","7645","0","0"
"Bom Jesus dos Perdões","Bom Jesus dos Perdões","8350","1","1"
"Angelândia","Angelândia","10242","1","1"
"Belém do Brejo do Cruz","Belém do Brejo do Cruz","6622","3","3"
"Autazes","Autazes","10141","7","7"
"Cafarnaum","Cafarnaum","7828","2","2"
"Viadutos","Viadutos","9755","0","0"
"Wagner","Wagner","8175","1","1"
"Santo Antônio do Içá","Santo Antônio do Içá","10185","4","4"
"Serra do Navio","Serra do Navio","5718","2","2"
"Bofete","Bofete","8348","1","1"
"Itapiranga","Itapiranga","10165","4","4"
"Anajás","Anajás","5582","2","2"
"Itaguaru","Itaguaru","7557","1","1"
"Frederico Westphalen","Frederico Westphalen","9445","2","2"
"Nicolau Vergueiro","Nicolau Vergueiro","9540","0","0"
"Flexeiras","Flexeiras","10063","4","4"
"Iporanga","Iporanga","8514","1","1"
"Tesouro","Tesouro","7430","0","0"
"Belo Horizonte","Belo Horizonte","10277","30","30"
"Gouvelândia","Gouvelândia","7539","1","1"
"Jaguari","Jaguari","9494","1","1"
"Caturaí","Caturaí","7500","1","1"
"Jaguarão","Jaguarão","9493","2","2"
"Dom Cavati","Dom Cavati","10463","0","0"
"Matos Costa","Matos Costa","6292","1","1"
"Santa Maria de Jetibá","Santa Maria de Jetibá","11127","5","5"
"Vera Cruz","Vera Cruz","8172","2","2"
"Ibiam","Ibiam","6238","1","1"
"Itaguari","Itaguari","7556","0","0"
"Tracunhaém","Tracunhaém","10021","3","3"
"Nordestina","Nordestina","8035","1","1"
"João Lisboa","João Lisboa","9150","4","4"
"Santo Antônio do Amparo","Santo Antônio do Amparo","10909","1","1"
"Colorado","Colorado","9383","1","1"
"Poté","Poté","10824","2","2"
"Cabo Verde","Cabo Verde","10315","1","1"
"Cristais Paulista","Cristais Paulista","8417","0","0"
"Leoberto Leal","Leoberto Leal","6279","0","0"
"Gaúcha do Norte","Gaúcha do Norte","7344","0","0"
"Agudos","Agudos","8278","0","0"
"Itati","Itati","9486","0","0"
"São Manoel do Paraná","São Manoel do Paraná","6084","0","0"
"Amaral Ferrador","Amaral Ferrador","9284","0","0"
"Santo Antônio do Rio Abaixo","Santo Antônio do Rio Abaixo","10916","0","0"
"Araçoiaba da Serra","Araçoiaba da Serra","8303","2","2"
"Bom Despacho","Bom Despacho","10290","5","5"
"Parapuã","Parapuã","8675","1","1"
"Serra Branca","Serra Branca","6795","1","1"
"Rio Claro","Rio Claro","8243","1","1"
"Paraíso do Sul","Paraíso do Sul","9571","0","0"
"Morrinhos","Morrinhos","7590","4","4"
"Vitória de Santo Antão","Vitória de Santo Antão","10031","11","11"
"Vespasiano","Vespasiano","11054","4","4"
"Cruzália","Cruzália","8418","0","0"
"Barreiras","Barreiras","7800","12","12"
"Itaguajé","Itaguajé","5888","0","0"
"Sítio do Quinto","Sítio do Quinto","8140","1","1"
"Oiapoque","Oiapoque","5728","0","0"
"Ibirubá","Ibirubá","9471","1","1"
"Jari","Jari","9496","0","0"
"Santo Amaro","Santo Amaro","8110","7","7"
"Vila Flores","Vila Flores","9759","1","1"
"Milagres","Milagres","7226","6","6"
"Cerqueira César","Cerqueira César","8400","1","1"
"Cantagalo","Cantagalo","5797","0","0"
"Itagimirim","Itagimirim","7943","0","0"
"Alto Parnaíba","Alto Parnaíba","9063","0","0"
"Igaci","Igaci","10066","3","3"
"Várzea da Palma","Várzea da Palma","11047","0","0"
"Penalva","Penalva","9194","3","3"
"Elísio Medrado","Elísio Medrado","7884","1","1"
"Bilac","Bilac","8343","1","1"
"Estiva Gerbi","Estiva Gerbi","8915","1","1"
"Ibirama","Ibirama","6240","2","2"
"Barroso","Barroso","10274","0","0"
"São Lourenço do Oeste","São Lourenço do Oeste","6384","0","0"
"Manacapuru","Manacapuru","10170","10","10"
"Turilândia","Turilândia","9263","0","0"
"Presidente Nereu","Presidente Nereu","6342","1","1"
"Afonso Cláudio","Afonso Cláudio","11065","5","5"
"Dom Aquino","Dom Aquino","7341","1","1"
"Adamantina","Adamantina","8271","1","1"
"Caçapava do Sul","Caçapava do Sul","9330","0","0"
"Alcobaça","Alcobaça","7770","1","1"
"Joinville","Joinville","6269","8","8"
"Mandaguari","Mandaguari","5931","3","3"
"Vista Gaúcha","Vista Gaúcha","9765","0","0"
"Paulicéia","Paulicéia","8680","0","0"
"Planalto da Serra","Planalto da Serra","7389","1","1"
"Charrua","Charrua","9376","0","0"
"Canavieiras","Canavieiras","7838","0","0"
"Maragogipe","Maragogipe","8010","1","1"
"Malhador","Malhador","7723","2","2"
"Pugmil","Pugmil","9022","1","1"
"Jampruca","Jampruca","10608","0","0"
"Petrolina de Goiás","Petrolina de Goiás","7621","1","1"
"Viçosa do Ceará","Viçosa do Ceará","7299","3","3"
"Santo Antônio da Barra","Santo Antônio da Barra","7651","1","1"
"Mata Roma","Mata Roma","9167","4","4"
"General Carneiro","General Carneiro","5856","0","0"
"Pirajuí","Pirajuí","8706","0","0"
"Curvelo","Curvelo","10443","3","3"
"Jussiape","Jussiape","7983","2","2"
"Dores do Indaiá","Dores do Indaiá","10470","1","1"
"Cana Verde","Cana Verde","10340","0","0"
